comment_score,Negative,Positive
29,0.92575406,0.577726218
26,0.950643777,0.536480687
-91,1,0.666666667
1806,1,0
65,0.965517241,0.534482759
1258,1,0
191,1,0.285714286
418,1,0
541,1,0
558,1,1
270,1,0.375
-109,0,1
-58,1,1
222,1,0.545454545
293,1,1
730,1,0
278,1,0.833333333
243,1,1
442,0.5,1
720,1,0
367,1,0
12472,1,1
7595,1,0
54,0.96,0.584
19,0.921914358,0.59697733
965,1,1
1217,1,1
296,0.75,0.25
0,0.891380827,0.605650836
277,1,0.75
348,1,1
415,1,1
287,0.5,0.5
6322,1,0
502,1,0
2881,1,0
2900,1,0
2244,1,0
167,0.9,0.4
-3,0.894827586,0.602586207
-30,0.818181818,0.575757576
299,0.857142857,0.571428571
112,0.875,0.5
113,1,0.636363636
155,0.916666667,0.333333333
-135,0.5,0
736,1,0.5
-118,1,1
-35,1,0.785714286
237,1,0.777777778
241,1,0.875
347,1,0.25
602,1,0.666666667
1636,1,1
22,0.92760181,0.546003017
330,1,0.666666667
414,1,1
198,0.857142857,0.714285714
2263,1,1
-141,1,1
530,1,1
130,0.961538462,0.5
1157,1,0.5
-60,0.833333333,1
196,1,0.625
427,1,1
932,1,0
7,0.932051014,0.560317792
-25,0.877192982,0.596491228
77,0.948275862,0.551724138
677,1,0
34,0.934065934,0.494505495
184,1,0.416666667
5275,1,1
3269,1,1
-49,0.75,0.5
853,1,1
463,1,0
188,1,0.571428571
-65,1,0.5
399,1,1
1199,1,0
126,0.962962963,0.407407407
202,1,0.272727273
889,0.5,1
228,1,1
274,1,1
-7,0.89484127,0.628968254
325,1,0.4
262,0.833333333,0.333333333
406,1,0.666666667
624,1,0
-95,1,1
691,1,1
2316,1,1
734,1,0
-90,1,1
1776,1,1
50,0.910447761,0.537313433
94,0.933333333,0.466666667
-79,1,0.666666667
149,0.833333333,0.5
5057,1,1
-107,1,0.5
421,1,1
1816,1,1
-13,0.896774194,0.690322581
264,0.846153846,0.461538462
3201,1,1
638,1,0
876,1,1
229,1,0.833333333
2153,1,0
-116,1,1
190,1,0.375
439,1,0.5
110,1,0.551724138
629,1,1
275,1,0.428571429
343,0.666666667,1
737,1,1
-26,0.909090909,0.568181818
57,0.88,0.493333333
136,0.916666667,0.583333333
828,0,1
1002,1,1
3105,1,1
1571,1,1
144,0.909090909,0.272727273
412,1,0.5
-61,0.875,0.75
388,1,0.5
2041,1,1
1025,1,1
1256,1,1
1549,1,0
43,0.932960894,0.575418994
32,0.951456311,0.537216828
420,1,0
555,1,0.5
752,1,0.5
-41,0.875,0.625
696,1,1
1051,1,1
1550,0,0
84,0.934782609,0.543478261
378,1,0
1362,1,1
212,0.714285714,0.571428571
-154,1,1
779,1,0.5
31,0.938311688,0.571428571
-108,1,1
662,1,1
1434,1,1
516,0.75,0.5
376,1,0
119,0.961538462,0.461538462
395,1,0
-111,0,0
974,1,0
596,1,1
595,1,0
450,1,0.333333333
326,1,0.166666667
386,1,1
1069,1,0
39,0.943478261,0.534782609
-50,0.923076923,0.692307692
98,0.972972973,0.540540541
187,0.833333333,0.666666667
561,1,0.666666667
1918,1,1
496,1,0
232,0.909090909,0.363636364
201,1,0.625
1405,1,1
1945,1,1
773,1,0
203,0.866666667,0.533333333
2922,1,1
700,1,1
116,1,0.611111111
145,0.947368421,0.526315789
25,0.941666667,0.552083333
-98,1,0.5
814,1,1
1299,1,1
-295,1,1
1731,1,1
948,1,0
157,1,0.5625
1897,1,1
-15,0.877862595,0.65648855
124,0.884615385,0.576923077
181,0.875,0.625
1149,1,0.5
2621,1,0
363,1,0.666666667
-101,1,1
586,1,0
1238,1,0
686,1,0.5
-88,0.75,0.75
268,0.777777778,0.222222222
95,0.958333333,0.375
227,1,0.8
589,1,1
-71,1,0.666666667
699,1,0.5
562,1,0.5
1246,1,1
925,1,1
413,1,0.4
-227,1,1
760,1,0
369,1,0.333333333
455,1,0.333333333
1721,1,0
71,0.946666667,0.52
143,0.928571429,0.571428571
703,1,0
370,1,0.5
6501,1,0
161,1,0.555555556
-45,1,0.666666667
443,1,0.5
193,1,0.666666667
1191,1,0
365,0.666666667,0
6,0.923076923,0.565863321
68,0.938271605,0.518518519
466,1,0.666666667
342,1,0.75
713,1,1
87,0.9,0.433333333
72,0.890909091,0.527272727
2616,1,0
215,1,0.428571429
7090,0,1
58,0.945454545,0.563636364
255,1,0.333333333
258,1,0.666666667
320,1,1
883,0,1
-119,1,1
1862,1,1
266,1,0.571428571
107,0.884615385,0.730769231
271,0.833333333,0.833333333
221,1,0.25
1150,1,1
3733,1,1
1817,1,0
9,0.923857868,0.556472081
554,1,1
744,1,1
789,1,0.5
407,1,0
4442,1,1
2429,1,0
316,1,0.5
63,0.935483871,0.548387097
27,0.935555556,0.548888889
158,0.913043478,0.47826087
-24,0.9,0.75
447,1,1
397,1,1
2255,1,1
51,0.946564885,0.488549618
56,0.931372549,0.578431373
178,0.923076923,0.692307692
353,1,1
702,1,1
234,1,0.571428571
610,1,0
341,0.6,0.6
239,1,0.333333333
-136,1,1
150,0.923076923,0.692307692
279,1,1
146,0.866666667,0.733333333
52,0.946153846,0.523076923
608,0,1
1762,1,0
694,1,1
346,1,0
-47,0.875,0.8125
585,0,1
459,1,0.75
446,1,0
861,1,1
4286,1,1
174,0.888888889,0.666666667
17,0.93814433,0.576382381
79,0.931818182,0.522727273
-86,1,0.333333333
170,0.8,0.4
209,1,0.8
253,0.888888889,0.444444444
236,1,0.714285714
103,0.923076923,0.653846154
-36,0.95,0.8
2338,1,0
-16,0.882352941,0.663865546
276,1,0.5
509,1,1
1250,1,1
-55,0.8,0.7
1999,1,0
139,0.714285714,0.5
246,1,0.666666667
453,1,1
242,1,1
430,1,0.5
226,1,0.428571429
41,0.929824561,0.514619883
1695,1,1
28,0.932754881,0.527114967
33,0.934362934,0.540540541
208,0.75,0.5
257,1,1
88,1,0.571428571
248,0.833333333,0.5
384,1,1
2673,1,0
519,0.5,0.5
-183,1,1
405,1,1
4005,1,1
138,0.894736842,0.736842105
498,1,0
671,1,0.333333333
511,1,0.5
207,1,0.8
235,1,0.428571429
304,0,0.5
769,1,0
-115,1,0.5
307,1,1
114,0.923076923,0.538461538
-18,0.837606838,0.709401709
928,1,0
434,1,0.333333333
742,1,0
714,1,0
646,1,0
5,0.932242393,0.573638456
2383,1,1
1,0.891049319,0.645392982
2079,1,0
404,1,0.75
319,0.5,0.5
-110,1,0
-19,0.826666667,0.68
153,0.944444444,0.555555556
115,0.95,0.4
718,1,1
96,0.925,0.55
250,1,0.333333333
-27,0.911764706,0.735294118
377,1,0
3121,1,1
3143,1,0
-2,0.883778437,0.627596439
1115,1,0
849,1,0
328,1,1
185,1,0.714285714
349,1,0.4
375,1,0
104,1,0.52
1232,1,0
219,0.857142857,0.714285714
368,1,1
1075,1,0
515,1,1
623,1,1
1622,1,0
449,1,0.5
1536,1,1
